Numero,Data Matrimonio,Ora Matrimonio,Luogo Celebrazione,Provincia/Stato Estero ,Sigla ,Data Atto,Anno Celebrazione,Mese Celebrazione,Giorno Settimana celebrazione
44,1984-09-01,Non presente,Foggia,Foggia,FG,2024-04-03,1984,Gennaio,Lunedi
83,1984-09-01,Non presente,Foggia,Foggia,FG,2024-06-05,1984,Gennaio,Lunedi
47,Non presente,Non presente,Foggia,Foggia,FG,2024-07-03,2008,Aprile,Lunedi
49,1994-11-04,Non presente,Foggia,Foggia,FG,2024-08-03,1994,Aprile,Lunedì
61,2024-08-04,10:30,Foggia,Foggia,FG,2024-08-04,2024,Aprile,Lunedì
70,1998-04-05,Non presente,Foggia,Foggia,FG,Non presente,1998,Maggio,Lunedì
323,1986-05-05,Non presente,Foggia,Foggia,FG,Non presente,1986,Maggio,Lunedì
22,Non presente,Non presente,Foggia,Foggia,FG,Non presente,2020,Giugno,Lunedì
122,2024-03-06,11:00,Foggia,Foggia,FG,2024-04-06,2024,Giugno,Lunedì
135,2024-10-06,11:00,Foggia,Foggia,FG,2024-11-06,2024,Giugno,Lunedì
136,2024-10-06,11:00,Foggia,Foggia,FG,2024-12-06,2024,Giugno,Lunedì
144,2024-10-06,11:00,Foggia,Foggia,FG,Non presente,2024,Giugno,Lunedì
175,Non presente,11:00,Foggia,Foggia,FG,Non presente,2024,Giugno,Lunedì
177,Non presente,11:00,Foggia,Foggia,FG,Non presente,2024,Giugno,Lunedì
303,1997-02-06,Non presente,Foggia,Foggia,FG,2024-07-10,1997,Giugno,Lunedì
342,2001-04-06,Non presente,Foggia,Foggia,FG,Non presente,2001,Giugno,Lunedì
169,2024-10-06,10:52,Lucera,Foggia,FG,Non presente,2024,Giugno,Lunedì
40,Non presente,Non presente,Casablanca,Marocco,MA,Non presente,2022,Giugno,Lunedì
82,Non presente,Non presente,Casablanca,Marocco,MA,2024-06-05,2022,Giugno,Lunedì
17,Non presente,Non presente,Foggia,Foggia,FG,Non presente,2012,Luglio,Lunedì
