Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
1,M,2024-01-01,01:39,Foggia,FG,Brennero,BZ,2024-01-08,1,Lunedi,Gennaio,Notte (00:00 - 05:59)
2,F,2024-01-03,14:13,Foggia,FG,Orta Nova,FG,2024-01-08,3,Mercoledi,Gennaio,Pomeriggio (12:00 - 17:59)
3,M,2024-01-04,12:25,Foggia,FG,Orsara Di Puglia,FG,2024-01-08,4,Giovedã¬,Gennaio,Pomeriggio (12:00 - 17:59)
4,F,2024-01-04,10:02,Foggia,FG,San Paolo Di Civitate,FG,2024-01-09,4,Giovedi,Gennaio,Mattina (06:00 - 11:59)
5,F,2024-01-04,14:35,Foggia,FG, Stornarella,FG,2024-01-09,4,Giovedi,Gennaio,Pomeriggio (12:00 - 17:59)
6,F,2024-01-06,08:10,Foggia,FG,San Giovanni Rotondo,FG,2024-01-09,6,Sabato,Gennaio,Mattina (06:00 - 11:59)
7,F,2024-01-05,13:30,Foggia,FG,Orsara Di Puglia,FG,2024-01-09,5,Venerdi,Gennaio,Pomeriggio (12:00 - 17:59)
8,F,2024-01-06,05:57,Foggia,FG,Rocchetta Sant'Antonio,FG,2024-01-09,6,Sabato,Gennaio,Notte (00:00 - 05:59)
9,M,2024-01-07,12:06,Foggia,FG,San Marco In Lamis,FG,2024-01-10,7,Domenica,Gennaio,Pomeriggio (12:00 - 17:59)
10,M,2024-01-06,09:38,Foggia,FG, Manfredonia,FG,2024-01-12,6,Sabato,Gennaio,Mattina (06:00 - 11:59)
11,M,2024-01-08,16:15,Foggia,FG,San Nicandro Garganico,FG,2024-01-16,8,Lunedi,Gennaio,Pomeriggio (12:00 - 17:59)
12,F,2024-01-06,03:29,Foggia,FG, Cerignola,FG,2024-01-16,6,Sabato,Gennaio,Notte (00:00 - 05:59)
