Numero;Data Inizio Pubblicazione;Data Celebrazione;Data Fine Pubblicazione;Data Atto ;Durata Pubblicazione;Giorni intercorsi tra atto e inizio pubblicazione
1;2024-01-03;2024-01-15;2024-01-11;2024-01-03;9;0
2;2024-01-03;2024-01-15;2024-01-11;2024-01-03;9;0
3;2024-01-05;2024-01-17;2024-01-13;2024-01-05;9;0
4;2024-01-05;2024-01-17;2024-01-13;2024-01-05;9;0
5;2024-01-09;2024-01-21;2024-01-17;2024-01-09;9;0
6;2024-01-10;2024-01-22;2024-01-18;2024-01-10;9;0
7;2024-01-12;2024-01-24;2024-01-20;2024-01-12;9;0
8;2024-03-07;2024-03-19;2024-03-15;2024-01-16;9;51
9;2024-01-16;2024-01-25;2024-01-24;2024-01-16;9;0
10;2024-01-18;2024-01-30;2024-01-26;2024-01-18;9;0
11;2024-01-18;2024-01-29;2024-01-26;2024-01-18;9;0
12;2024-02-08;2024-02-20;2024-02-16;2024-01-19;9;20
13;2024-01-23;2024-02-04;2024-01-31;2024-01-23;9;0
14;2024-01-24;2024-02-05;2024-02-01;2024-01-24;9;0
15;2024-01-24;2024-02-05;2024-02-01;2024-01-24;9;0
16;2024-01-26;2024-02-07;2024-02-03;2024-01-26;9;0
17;2024-03-21;2024-04-02;2024-03-29;2024-01-26;9;55
18;2024-02-01;2024-02-13;2024-02-09;2024-02-01;9;0
19;2024-02-02;2024-02-16;2024-02-10;2024-02-02;9;0
20;2024-02-06;2024-02-18;2024-02-14;2024-02-06;9;0
21;2024-02-07;2024-02-19;2024-02-15;2024-02-07;9;0
22;2024-02-07;2024-02-19;2024-02-15;2024-02-07;9;0
23;2024-02-08;2024-02-20;2024-02-16;2024-02-08;9;0
24;2024-02-08;2024-02-20;2024-02-16;2024-02-08;9;0
25;2024-02-09;2024-02-21;2024-02-17;2024-02-09;9;0
26;2024-02-09;2024-02-21;2024-02-17;2024-02-09;9;0
27;2024-02-09;2024-02-21;2024-02-17;2024-02-09;9;0
28;2024-02-14;2024-02-26;2024-02-22;2024-02-14;9;0
29;2024-02-14;2024-02-26;2024-02-22;2024-02-14;9;0
30;2024-02-14;2024-02-26;2024-02-22;2024-02-14;9;0
31;2024-02-15;2024-02-27;2024-02-23;2024-02-15;9;0
32;2024-02-15;2024-02-27;2024-02-23;2024-02-15;9;0
